CustomerID,SubscriptionPlan,BillingCycle,IsAutoRenew
CUST001,Basic,Quarterly,False
CUST002,Basic,Annually,True
CUST003,Basic,Quarterly,True
CUST004,Standard,Quarterly,True
CUST005,Premium,Annually,True
CUST006,Standard,Annually,True
CUST007,Standard,Quarterly,True
CUST008,Basic,Monthly,True
CUST009,Basic,Quarterly,True
CUST010,Basic,Monthly,True
CUST011,Standard,Annually,True
CUST012,Standard,Monthly,True
CUST013,Basic,Monthly,False
CUST014,Basic,Annually,True
CUST015,Standard,Quarterly,True
CUST016,Basic,Annually,True
CUST017,Standard,Quarterly,True
CUST018,Standard,Quarterly,True
CUST019,Standard,Annually,True
CUST020,Standard,Quarterly,True
CUST021,Basic,Monthly,True
CUST022,Basic,Annually,True
CUST023,Premium,Annually,False
CUST024,Standard,Monthly,True
CUST025,Standard,Annually,True
CUST026,Standard,Monthly,True
CUST027,Standard,Annually,True
CUST028,Standard,Quarterly,True
CUST029,Basic,Monthly,True
CUST030,Standard,Annually,True
CUST031,Basic,Annually,True
CUST032,Basic,Monthly,False
CUST033,Premium,Quarterly,False
CUST034,Standard,Monthly,True
CUST035,Basic,Monthly,False
CUST036,Basic,Quarterly,True
CUST037,Standard,Quarterly,True
CUST038,Basic,Monthly,True
CUST039,Premium,Monthly,True
CUST040,Standard,Annually,True
CUST041,Basic,Annually,True
CUST042,Basic,Monthly,True
CUST043,Premium,Quarterly,True
CUST044,Standard,Quarterly,False
CUST045,Standard,Quarterly,True
CUST046,Standard,Quarterly,True
CUST047,Premium,Monthly,False
CUST048,Premium,Monthly,False
CUST049,Standard,Quarterly,True
CUST050,Basic,Monthly,True
CUST051,Premium,Quarterly,False
CUST052,Basic,Monthly,True
CUST053,Basic,Monthly,True
CUST054,Premium,Quarterly,True
CUST055,Premium,Monthly,True
CUST056,Basic,Monthly,True
CUST057,Premium,Quarterly,True
CUST058,Basic,Monthly,True
CUST059,Standard,Monthly,True
CUST060,Premium,Annually,True
CUST061,Standard,Monthly,True
CUST062,Basic,Annually,False
CUST063,Basic,Monthly,True
CUST064,Basic,Annually,True
CUST065,Standard,Annually,True
CUST066,Basic,Monthly,True
CUST067,Standard,Monthly,True
CUST068,Standard,Monthly,True
CUST069,Standard,Monthly,True
CUST070,Basic,Monthly,True
CUST071,Basic,Monthly,True
CUST072,Basic,Monthly,True
CUST073,Standard,Quarterly,False
CUST074,Basic,Monthly,False
CUST075,Basic,Monthly,True
CUST076,Premium,Annually,True
CUST077,Standard,Annually,True
CUST078,Basic,Monthly,True
CUST079,Standard,Monthly,True
CUST080,Basic,Monthly,True
CUST081,Premium,Monthly,True
CUST082,Standard,Monthly,True
CUST083,Basic,Monthly,True
CUST084,Basic,Monthly,True
CUST085,Basic,Annually,True
CUST086,Basic,Monthly,True
CUST087,Basic,Quarterly,True
CUST088,Premium,Quarterly,True
CUST089,Premium,Annually,True
CUST090,Basic,Monthly,True
CUST091,Standard,Annually,True
CUST092,Premium,Monthly,False
CUST093,Standard,Quarterly,True
CUST094,Standard,Monthly,False
CUST095,Basic,Annually,True
CUST096,Basic,Monthly,True
CUST097,Basic,Monthly,True
CUST098,Standard,Monthly,False
CUST099,Basic,Quarterly,True
CUST100,Basic,Annually,True
CUST101,Basic,Quarterly,True
CUST102,Standard,Monthly,False
CUST103,Premium,Monthly,True
CUST104,Basic,Monthly,True
CUST105,Standard,Monthly,True
CUST106,Standard,Monthly,True
CUST107,Standard,Monthly,False
CUST108,Basic,Monthly,True
CUST109,Standard,Quarterly,True
CUST110,Basic,Monthly,True
CUST111,Basic,Annually,True
CUST112,Premium,Quarterly,True
CUST113,Premium,Monthly,True
CUST114,Standard,Annually,True
CUST115,Premium,Quarterly,True
CUST116,Standard,Quarterly,False
CUST117,Standard,Annually,True
CUST118,Basic,Quarterly,True
CUST119,Basic,Monthly,True
CUST120,Premium,Annually,True
CUST121,Basic,Annually,True
CUST122,Basic,Quarterly,True
CUST123,Standard,Monthly,True
CUST124,Standard,Monthly,True
CUST125,Standard,Annually,False
CUST126,Standard,Annually,True
CUST127,Basic,Monthly,True
CUST128,Standard,Monthly,True
CUST129,Basic,Annually,True
CUST130,Basic,Monthly,False
CUST131,Standard,Annually,True
CUST132,Standard,Annually,True
CUST133,Basic,Annually,True
CUST134,Standard,Monthly,False
CUST135,Basic,Monthly,True
CUST136,Basic,Annually,True
CUST137,Basic,Monthly,False
CUST138,Premium,Quarterly,True
CUST139,Premium,Monthly,True
CUST140,Basic,Monthly,True
CUST141,Basic,Monthly,True
CUST142,Basic,Monthly,False
CUST143,Premium,Quarterly,False
CUST144,Standard,Monthly,False
CUST145,Standard,Annually,True
CUST146,Standard,Annually,True
CUST147,Basic,Monthly,True
CUST148,Premium,Monthly,True
CUST149,Premium,Quarterly,False
CUST150,Basic,Monthly,True
CUST151,Standard,Monthly,True
CUST152,Standard,Quarterly,True
CUST153,Standard,Monthly,True
CUST154,Basic,Quarterly,True
CUST155,Standard,Quarterly,True
CUST156,Basic,Quarterly,False
CUST157,Standard,Quarterly,False
CUST158,Basic,Quarterly,True
CUST159,Premium,Quarterly,False
CUST160,Standard,Monthly,True
CUST161,Premium,Monthly,True
CUST162,Standard,Monthly,True
CUST163,Standard,Annually,True
CUST164,Premium,Quarterly,False
CUST165,Basic,Annually,True
CUST166,Premium,Quarterly,True
CUST167,Standard,Monthly,True
CUST168,Basic,Quarterly,True
CUST169,Premium,Monthly,False
CUST170,Standard,Monthly,True
CUST171,Basic,Monthly,True
CUST172,Standard,Quarterly,True
CUST173,Basic,Annually,True
CUST174,Basic,Quarterly,True
CUST175,Premium,Annually,True
CUST176,Basic,Monthly,False
CUST177,Basic,Monthly,True
CUST178,Basic,Quarterly,True
CUST179,Basic,Annually,True
CUST180,Standard,Monthly,True
CUST181,Premium,Quarterly,True
CUST182,Premium,Monthly,True
CUST183,Standard,Monthly,False
CUST184,Standard,Monthly,True
CUST185,Premium,Annually,True
CUST186,Basic,Annually,True
CUST187,Basic,Monthly,False
CUST188,Standard,Monthly,False
CUST189,Premium,Annually,True
CUST190,Standard,Annually,True
CUST191,Basic,Annually,True
CUST192,Basic,Quarterly,True
CUST193,Basic,Quarterly,True
CUST194,Premium,Monthly,True
CUST195,Basic,Quarterly,True
CUST196,Basic,Monthly,True
CUST197,Standard,Quarterly,True
CUST198,Standard,Monthly,True
CUST199,Premium,Annually,True
CUST200,Basic,Quarterly,True
CUST201,Basic,Quarterly,False
CUST202,Standard,Monthly,True
CUST203,Basic,Monthly,True
CUST204,Standard,Monthly,True
CUST205,Basic,Quarterly,True
CUST206,Basic,Monthly,True
CUST207,Premium,Annually,True
CUST208,Premium,Monthly,False
CUST209,Standard,Annually,True
CUST210,Standard,Annually,True
CUST211,Standard,Quarterly,True
CUST212,Standard,Monthly,True
CUST213,Standard,Monthly,False
CUST214,Standard,Annually,True
CUST215,Basic,Monthly,False
CUST216,Standard,Annually,True
CUST217,Standard,Quarterly,True
CUST218,Premium,Quarterly,True
CUST219,Basic,Monthly,True
CUST220,Standard,Annually,True
CUST221,Standard,Quarterly,True
CUST222,Standard,Annually,True
CUST223,Basic,Annually,True
CUST224,Basic,Quarterly,False
CUST225,Standard,Annually,True
CUST226,Premium,Quarterly,True
CUST227,Standard,Annually,True
CUST228,Premium,Monthly,True
CUST229,Basic,Annually,True
CUST230,Basic,Monthly,True
CUST231,Premium,Monthly,True
CUST232,Premium,Annually,True
CUST233,Standard,Monthly,True
CUST234,Standard,Monthly,True
CUST235,Basic,Monthly,False
CUST236,Basic,Monthly,True
CUST237,Premium,Monthly,True
CUST238,Basic,Monthly,True
CUST239,Standard,Annually,True
CUST240,Basic,Quarterly,True
CUST241,Basic,Monthly,False
CUST242,Standard,Quarterly,True
CUST243,Standard,Annually,True
CUST244,Premium,Monthly,True
CUST245,Premium,Monthly,True
CUST246,Basic,Monthly,True
CUST247,Basic,Monthly,True
CUST248,Premium,Quarterly,False
CUST249,Standard,Monthly,True
CUST250,Standard,Quarterly,True
